symbol,scale,bin,n_windows,mean_q,mean_r,ci_lo,ci_hi,sd_r,frac_zero_r,mean_duration_s,interior_bin
BTCUSDT,N=25,16,388998.0,3.7181322988807115,6.1214391887045635e-6,5.7176323583176526e-6,6.5292724437000986e-6,0.00006281447567917827,0.2555463010092597,0.33077326104502475,false
BTCUSDT,N=25,17,233380.0,5.354348024680791,4.631062087161052e-6,4.15967823524868e-6,5.117938404768144e-6,0.00008398455704675324,0.30846259319564656,0.27042629188435857,false
BTCUSDT,N=25,18,155557.0,13.512612875023292,2.1251058999581456e-6,1.5722069724209418e-6,2.7051262291692587e-6,0.00010564047608485944,0.394768477149855,0.1978637091227552,false
BTCUSDT,N=250,0,15555.0,-73.19486332369024,-0.00010248019948619928,-0.00010942113888118704,-0.0000962941325997783,0.00022148776322894397,0.05522340083574413,1.9081750562520519,false
BTCUSDT,N=250,1,23332.0,-31.161810432024744,-0.00010738512703565798,-0.0001126529945945487,-0.00010253154092246085,0.0002501158828588698,0.023529915995199727,1.4390844333962318,false
BTCUSDT,N=250,2,38885.0,-22.01242839141057,-0.00010837892211928659,-0.00011271493609084586,-0.00010470845920588371,0.00016225775429006407,0.01777034846341777,1.6338188247393448,false
BTCUSDT,N=250,3,77763.0,-15.806962784357617,-0.0001081102477192151,-0.00011147277774348826,-0.0001049920135750583,0.00014746619110991862,0.013862633900441084,2.3166770700717834,false
BTCUSDT,N=250,4,155553.0,-10.670053319447398,-0.00010503571588731442,-0.00010819794497493779,-0.00010218552618873085,0.00012364721065910952,0.01146233116686917,3.5977455979630593,true
BTCUSDT,N=250,5,233307.0,-6.872114582931477,-0.00010543388225673194,-0.00010831586168864437,-0.00010272098824027094,0.00012424237656509437,0.009498214798527263,4.772209217897518,true
BTCUSDT,N=250,6,233296.0,-4.478238936801322,-0.0001061555464513639,-0.00010941596536158442,-0.00010305266881452339,0.00012834400911365234,0.009134318633838557,5.457431974830314,true
BTCUSDT,N=250,7,311046.0,-2.751445027423605,-0.00010183655536328661,-0.00010545136754684762,-0.00009826110767390995,0.0001374556661000647,0.009352314448666757,5.762953910354111,true
BTCUSDT,N=250,8,311175.0,-1.2974436249698724,-0.00007439403912122792,-0.00007809350895163554,-0.000070392142355165,0.0001472488483791272,0.011469430384831687,5.917903231300781,true
BTCUSDT,N=250,9,311093.0,0.028893546302874048,-4.254181065655636e-7,-1.2331691084671421e-6,4.151166413542895e-7,0.00014410281674092376,0.015146596033983406,6.125957321444046,false
BTCUSDT,N=250,10,311079.0,1.3483581823266768,0.00007460035189795175,0.0000704088254127721,0.00007884276878376492,0.00014881711693097576,0.011058284230050888,5.940320555228735,true
BTCUSDT,N=250,11,311113.0,2.792529113216096,0.00010106259118364662,0.00009701712709466796,0.00010520447033166857,0.00013726921487346486,0.009118873206841243,5.77008025379847,true
BTCUSDT,N=250,12,233334.0,4.51412193679446,0.0001050465238305841,0.00010168346605389953,0.0001084559528688098,0.0001277036176035677,0.009141402453135848,5.474814497672896,true
BTCUSDT,N=250,13,233321.0,6.917269401382654,0.00010514738695412915,0.00010228434068922713,0.00010825842608104449,0.00012232987271803468,0.009591935573737468,4.688869304520366,true
BTCUSDT,N=250,14,155541.0,10.728518634957979,0.00010588661065529953,0.00010287658991014335,0.00010915220646102331,0.00012043448683676597,0.011379636237390784,3.4567232112430424,true
BTCUSDT,N=250,15,77778.0,15.896206035125685,0.00010967360108609642,0.00010634717475456888,0.00011311683122865685,0.0001388006777327361,0.015004242845020443,2.2198512689962624,false
BTCUSDT,N=250,16,38889.0,22.13586548895577,0.00011192173662314719,0.00010782962403146867,0.00011663489837407462,0.00016059936320686686,0.01920851654709558,1.5167891434593375,false
BTCUSDT,N=250,17,23333.0,31.210724938927722,0.00010820540634929954,0.00010316591733955751,0.00011355271853870889,0.00018259279700793068,0.030986156945099215,1.3594686495522021,false
BTCUSDT,N=250,18,15555.0,72.74027405978782,0.00010184779693454786,0.00009623530801490025,0.00010731984523377726,0.00026395968299021123,0.057216329154612666,1.8389370620379646,false
BTCUSDT,N=2500,0,1556.0,-340.61609318766085,-0.0007263995337960002,-0.000776595521131249,-0.0006798059534553044,0.0006823152687383972,0.003213367609254499,20.17437853470439,false
BTCUSDT,N=2500,1,2332.0,-169.59845025729012,-0.0005808617965425471,-0.000606037270798128,-0.0005544259638881437,0.0005108224228163995,0.0017152658662092624,22.147487993138903,false
BTCUSDT,N=2500,2,3888.0,-121.94985416666643,-0.0005618847661445882,-0.0005805999743242512,-0.000543560948266654,0.00047026048386990157,0.001286008230452675,23.377277777777753,false
BTCUSDT,N=2500,3,7775.0,-89.59770019292618,-0.0005294712760534868,-0.0005455374382447633,-0.0005138104889937887,0.0004806561152767419,0.0011575562700964631,28.790766173633386,false
BTCUSDT,N=2500,4,15550.0,-61.96299305466245,-0.0004926092230367449,-0.0005039116152923353,-0.0004812586592802937,0.00046685127609414674,0.0012218649517684887,38.91374250803842,true
BTCUSDT,N=2500,5,23326.0,-40.68625812398184,-0.0004341429192105013,-0.00044482371265011834,-0.0004222879769661189,0.0004730547632908815,0.0011146360284660893,48.69215219068833,true
BTCUSDT,N=2500,6,23324.0,-26.747432687360668,-0.0003702458472939048,-0.0003829235761858847,-0.0003573404759354662,0.00048272908658126125,0.0013719773623735209,53.974328202709714,true
BTCUSDT,N=2500,7,31103.0,-16.23005947979294,-0.0002720551075306683,-0.0002885310103393393,-0.0002570047056149016,0.00048520630209580433,0.0013503520560717616,57.40281014693105,true
BTCUSDT,N=2500,8,31101.0,-7.260255940323446,-0.00014183771447862488,-0.00015291555230455408,-0.00013018483393522956,0.0004834820142291433,0.0017041252692839457,57.75490145011426,true
BTCUSDT,N=2500,9,31101.0,0.32197803929134144,-3.64483407533126e-6,-9.032260973924228e-6,1.563566057650274e-6,0.00048530628051547523,0.0015433587344458378,57.84419111925601,false
BTCUSDT,N=2500,10,31100.0,7.8626338263665465,0.00013678954972045837,0.00012618510763627775,0.00014682094983640084,0.0004935307778232514,0.0017363344051446945,57.39786147910001,true
BTCUSDT,N=2500,11,31101.0,16.711385293077416,0.0002655142108559765,0.00025072563016192615,0.00027972427746363623,0.0004919751323768869,0.0014147455065753513,56.84672152020813,true
BTCUSDT,N=2500,12,23326.0,27.121738617851335,0.00035976979696526246,0.0003452733091264655,0.00037326460197170306,0.0004897537653799606,0.001543342193260739,53.26453476806965,true
BTCUSDT,N=2500,13,23326.0,40.96626283974953,0.00043911634608781463,0.0004253942137778412,0.0004539573767912186,0.0004800364303693295,0.0013718597273428793,47.20707588099134,true
BTCUSDT,N=2500,14,15551.0,62.204292585685955,0.0005020016598994247,0.00048731260061872164,0.0005178109529460982,0.0004795392650759162,0.0012860909266285126,37.02247971191564,true
BTCUSDT,N=2500,15,7775.0,90.52906006430864,0.0005391944094729867,0.0005221260809710342,0.000556057205997129,0.0004794611486865406,0.0006430868167202572,27.537634469453348,false
BTCUSDT,N=2500,16,3888.0,123.74578369341552,0.0005779865388146843,0.0005554550285045467,0.0006008650458651669,0.0004788554703353147,0.00205761316872428,22.50111856995884,false
BTCUSDT,N=2500,17,2332.0,172.4792487135505,0.0006285510177621628,0.0006032170395549987,0.0006531322506279189,0.0005105469493158187,0.0017152658662092624,18.473547598627757,false
BTCUSDT,N=2500,18,1556.0,333.2689415167094,0.0007144044488105398,0.0006751320597407278,0.0007556298997241301,0.000686520019768302,0.002570694087403599,18.35985282776351,false
